 AD
 F( 1 , 1 )=   2.8512000000000000E+04
 F( 6 , 23 )=  0.0000000000000000E+000
 F( 7 , 23 )=  0.0000000000000000E+000
 F( 8 , 23 )=  0.0000000000000000E+000
 F( 9 , 23 )=  0.0000000000000000E+000
 F( 10 , 23 )=  0.0000000000000000E+000
 F( 11 , 23 )=  0.0000000000000000E+000
 F( 12 , 23 )=  0.0000000000000000E+000
 F( 13 , 23 )=   1.2960000000000000E+03
 F( 14 , 23 )=  0.0000000000000000E+000
 F( 15 , 23 )=  0.0000000000000000E+000
 F( 16 , 23 )=  0.0000000000000000E+000
 F( 17 , 23 )=   2.4320000000000000E+03
 F( 18 , 23 )=  -1.0368000000000000E+04
 F( 19 , 23 )=   2.7520000000000000E+03
 F( 20 , 23 )=  0.0000000000000000E+000
 F( 21 , 23 )=   1.1960000000000000E+03
 F( 22 , 23 )=  -1.0008000000000000E+04
 F( 23 , 23 )=   2.7216000000000000E+04
 F( 24 , 23 )=  -1.0728000000000000E+04
 F( 25 , 23 )=   1.3960000000000000E+03
 F( 1 , 24 )=  0.0000000000000000E+000
 F( 2 , 24 )=  0.0000000000000000E+000
 F( 3 , 24 )=  0.0000000000000000E+000
 F( 4 , 24 )=  0.0000000000000000E+000
 F( 5 , 24 )=  0.0000000000000000E+000
 F( 6 , 24 )=  0.0000000000000000E+000
 F( 7 , 24 )=  0.0000000000000000E+000
 F( 8 , 24 )=  0.0000000000000000E+000
 F( 9 , 24 )=  0.0000000000000000E+000
 F( 10 , 24 )=  0.0000000000000000E+000
 F( 11 , 24 )=  0.0000000000000000E+000
 F( 12 , 24 )=  0.0000000000000000E+000
 F( 13 , 24 )=  0.0000000000000000E+000
 F( 14 , 24 )=   1.3860000000000000E+03
 F( 15 , 24 )=  0.0000000000000000E+000
 F( 16 , 24 )=  0.0000000000000000E+000
 F( 17 , 24 )=  0.0000000000000000E+000
 F( 18 , 24 )=   2.5020000000000000E+03
 F( 19 , 24 )=  -1.0668000000000000E+04
 F( 20 , 24 )=   2.8020000000000000E+03
 F( 21 , 24 )=  0.0000000000000000E+000
 F( 22 , 24 )=   1.1360000000000000E+03
 F( 23 , 24 )=  -9.9580000000000000E+03
 F( 24 , 24 )=   2.7266000000000000E+04
 F( 25 , 24 )=  -1.0578000000000000E+04
 F( 1 , 25 )=  0.0000000000000000E+000
 F( 2 , 25 )=  0.0000000000000000E+000
 F( 3 , 25 )=  0.0000000000000000E+000
 F( 4 , 25 )=  0.0000000000000000E+000
 F( 5 , 25 )=  0.0000000000000000E+000
 F( 6 , 25 )=  0.0000000000000000E+000
 F( 7 , 25 )=  0.0000000000000000E+000
 F( 8 , 25 )=  0.0000000000000000E+000
 F( 9 , 25 )=  0.0000000000000000E+000
 F( 10 , 25 )=  0.0000000000000000E+000
 F( 11 , 25 )=  0.0000000000000000E+000
 F( 12 , 25 )=  0.0000000000000000E+000
 F( 13 , 25 )=  0.0000000000000000E+000
 F( 14 , 25 )=  0.0000000000000000E+000
 F( 15 , 25 )=   1.4760000000000000E+03
 F( 16 , 25 )=  0.0000000000000000E+000
 F( 17 , 25 )=  0.0000000000000000E+000
 F( 18 , 25 )=  0.0000000000000000E+000
 F( 19 , 25 )=   2.5920000000000000E+03
 F( 20 , 25 )=  -1.0728000000000000E+04
 F( 21 , 25 )=  0.0000000000000000E+000
 F( 22 , 25 )=  0.0000000000000000E+000
 F( 23 , 25 )=   1.1160000000000000E+03
 F( 24 , 25 )=  -1.0008000000000000E+04
 F( 25 , 25 )=   2.8512000000000000E+04
